title,price,link
Shop on eBay,$479.99,
Shop on eBay,$479.99,
"Tracfone $60 1200 Min, 1200 text, 3 GB Data 365–Day Plan [Physical Delivery]",$60.00,https://www.ebay.com/itm/285949941599?hash=item4293f1d75f:g:d7gAAeSwi0Vp4HW9&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurtuimIS7dXQoY%2B9K1TdXaltsEzg30PderRb2oS%2FMJmL5Qnrx5OUYN%2FJGD2gB5z%2FWoqPzqZkh%2BywXjVEqYVOnSjCcD%2Bfx2s20dHkATGqveXGDivX6kAEpkMhDsZrSOecV57tEUowmse9Mo4vEmKFsVkIOMA38Ukfu%2F34T5ntNT2Mmu0Xi4o335kJR0fS8qqqZ1A%2FqZHHxYkfFN%2Bn1yPvQHIj7eDQDQrkKwOn5WiuCYHyqIKkp%2BzVLSeCYxxWYJveyPiRot4UFgzR9paPb56GrCy%7Ctkp%3ABk9SR_S00OKyZw
Apple iPhone 12 64/128GB - Fully Unlocked AT&T T-Mobile Verizon - All colors,$141.00 to $222.00,https://www.ebay.com/itm/386936766515?epid=11045897775&hash=item5a173a8033:g:fe4AAOSwVkRmIHzv&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqtqiBRS9IPy67MwDdNlgVL3m67KPgdV8I%2B7PRdo5hm2RVzOCfBrIP0P6ixbYBfwq8GE4YHfWrzrfmAxNbdxhpU%2F6nUY9zI0iznvJgyG3yaieNAIBiZ%2B3kcuXnIXhDuRbEq9k%2FmwpIweLk0dR7ZXtGLdumgS%2Brlk1WODh1ZlJ%2FpLABVYQJlo0%2Fey9QIYqbgvSfN3%2BpqjT4WEvZrmpfUghCLBfHJ%2BtuEwLBkg4x6uzi%2B%2BdzbWwLmIfZklx9ZLDV4na7a%2B2jM24JUPJ3i96MDwLwg%7Ctkp%3ABFBM9LTQ4rJn&var=654209735303
"Apple iPhone 12 Pro, 128/256/512GB - Fully Unlocked - Refurbished Excellent",$279.99 to $324.99,https://www.ebay.com/itm/326721928692?epid=7041718861&hash=item4c1224fdf4:g:HlMAAOSwjzhkCfsi&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqPkElfBzSMpPXg6KkGeOL1%2BJNiHcWoPGshEBjssqZiVfu%2FYi%2FTu77s1ZakSG1hdUF9yf%2FNxBCR1dRn5rOrWxFyURaBELo8alb8u%2FyQYfMPNUQXA%2FhwYSSf0HOszbNK%2FPFQLMB7J2FOsS1TVSizP1fefjx%2BJUP27JfP25Sr5rX1pXj1XVJdWo%2FBq%2B7GQM14SNhFn%2BbsELSui155Ledw5SoALep%2BtO0gXHtSAB9EiBdoUED8FWzNTOAzLN0ocAsPK5qU3x80LMU1RCVkYwDNmgQF%7Ctkp%3ABFBM9LTQ4rJn&var=515734602118
"Apple iPhone 12 Pro Max, 128/256/512GB - Unlocked - Refurbished Excellent",$409.99,https://www.ebay.com/itm/326721920526?epid=10064610622&hash=item4c1224de0e:g:VHAAAOSwgBxkCfYf&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuqOOncVAV3LLZbvckfIOlnwbEnWa0ouSG4wFEAaeke16oZ5DfI6h%2Bvj%2BRM1mipIot2XuQ86TfJf7QlVumC7LOCVLMq2ZClxLTAhekLim%2BbMkKMABjNxbyY81plQjUl2Ec%2FD20ZYUmt9E7YS%2BPyUe%2BER%2FJ19jqlquWntN5SCcy%2BoxaRvZus9AnIBNBV4o6KAN6ckWYkc04Hry0FqdRlm360iOjBMVi%2FJkV9Op1yJc5SJk4rC0WwxIjbhdVU0sn6ndq7l%2FzUkzlrYkO6bpSKSZRRb%7Ctkp%3ABFBM9LTQ4rJn&var=515734664969
New Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/512GB Factory Unlocked GSM+CDMA,$409.99 to $495.99,https://www.ebay.com/p/10059052247?iid=406804152549&var=677031839991
45W PD Super Fast Wall Charger USB-C Type C Cable For Samsung Galaxy S23 S22 S21,$1.85,https://www.ebay.com/itm/135606436465?hash=item1f92c60271:g:ojwAAOSwbhNl8CTG&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4Luq6qCzCT09RCxF4OMcc8vz4ipxL%2FA8jZvMLCd996GkRjtwnMQ7w%2F5Yx%2FyQk%2BHuiA0BSEJ0qoDH%2BkkHSTIwoTrAH33z3LGvaSTl1HTmMeSr2SWCA%2FcZFYM5KT85XHNYQz8itBamN8fADkxYxm8YSzR7gLJNBQnsNlCfVDXdAWEluD5HM7O%2BtzzWgaEXdXsLqCWbxa5tP46%2B%2Bybt%2FvzaHDdnECm5c%2Fmr9Be9tAsZuTKAk0Q%3D%3D%7Ctkp%3ABk9SR_S00OKyZw
New ListingBIG SALE Apple iPhone 16 Pro Max - 1 TB - Black Titanium (Unlocked),$369.00,https://www.ebay.com/p/22071465731?iid=157832977081
Apple iPhone 13 128GB Unlocked - Very Good,$233.99,https://www.ebay.com/p/11049276145?iid=256350256036&var=556412939571
NEW SEALED Samsung Galaxy S22 Ultra 5G S908U 128GB/256GB/512GB Factory Unlocked,$334.99 to $344.99,https://www.ebay.com/p/22065004681?iid=406845313502&var=677066260512
New Sealed Apple iPhone 17 Pro Max 1TB Silver Unlocked 1-Year Apple Warranty,$499.99,https://www.ebay.com/p/9085684650?iid=298227844841
New Sealed Samsung Galaxy S21 Ultra 5G 128GB/ 256GB SM-G998U Factory Unlocked,$258.49 to $316.77,https://www.ebay.com/p/19043689990?iid=297281619485&var=594842919271
Samsung Galaxy S23 128GB S911U Unlocked - Good,$199.99,https://www.ebay.com/p/5065009608?iid=256372465052&var=556454234753
Samsung Galaxy S23 Ultra 5G SM-S918U 256GB Factory Unlocked ❖ New in Sealed ❖,$409.99,https://www.ebay.com/p/23059054247?iid=397043656711&var=665494090336
"Apple iPhone 13 - Unlocked, Excellent Condition, Midnight, Blue, Pink, Free Shi",$218.00 to $354.00,https://www.ebay.com/itm/389340071774?epid=7049287412&hash=item5aa67a075e:g:VQ0AAeSwpKVpNFSE&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luqz69MrBeOo8uj8ZHREq4xN8i8ykiZWehUplLT%2Bnv6205L6CGy1Or7yNH3XHSAVUjfMw0Je1Pji38BO9UpByfru8VppAwNImUSxnhSV9bF363X5Yta8eeCh2jGWSHTtXgk6JGFc%2FFa93GdiyrFo0YyiBQfReuiOCzGYPEFj7oRKBG4v31GOlX6arSQgn%2BNDbGiTPmom583lxs8d%2FbaPFm35TJfYBKahE0K2shP9BQqPLTGAGpM%2BL12liuAk0MjRGQa7FRQ6N3Qnc%2F6OVTkVso9Y%7Ctkp%3ABFBM9LTQ4rJn&var=656654952127
Apple iPhone 11 Pro Max 64/256/512GB Unlocked - All colors - Used Excellent,$244.99 to $294.99,https://www.ebay.com/itm/235791482034?epid=9034209121&hash=item36e6447cb2:g:ufUAAOSwff1kQwEh&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurTn%2Brn6S1CQhGpcUHXSg7Rw7Px2NXycGtfJqf3CfHyyn9h1fISesDzDdfwXcrAHQS1BRC378UZeCpXAe2t1P28qtoGiiWdCs2Azy85nxtFkTdxEzJoZhecAKKu5JbvaPuJAb2aEs2hHrPIOuveaYssy7MeEOQrok2nrcdeQUa4wDD%2F%2BOKdhCWxSPsFSRd3gsIZzdMGhFo8OC0jNLfZt0vgrUDKV%2BjgmVLn8YnCuIrAUp1sHmBgPNZlHIc1bqArumJ34zPgCLFbr6xfTFCA7Ml%2F%7Ctkp%3ABFBM9LTQ4rJn&var=536173174983
"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Refurbished Excellent",$254.99 to $294.99,https://www.ebay.com/itm/226908600683?hash=item34d4ce796b:g:qAwAAOSwhGpkCevP&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurAzRWTaF6skFCiWxXAsRyWc3mVsUOXQEaaTL5k5EMIIqiORKdUYUtf98ipFdaCmoXCFbvaUH3835WDtaKpvUpJZ7ysZTc7KdscxLHQ8Dl0nIFhUzwD95pAbSgD59DM8EPo1fuhq1LLtpcCdb6GAYKVHWdkp2g5YBc9aa5xGkVOdas9zj0Xj%2FqAlzN7UXdJji2hi%2FC47GYiZdVwHkSGfTpFPFFOosaMLhgb5K32IYuamnHwXoRyDOhuM3nnLm9wwySdj28Qw%2F0cOxCEAP2Gt5%2Bj%7Ctkp%3ABFBM9rTQ4rJn&var=526061237498
Apple iPhone 13 A2482 128GB Network Unlocked Very Good Condition,$263.45 to $263.46,https://www.ebay.com/p/12052764234?iid=354393355064&var=624218404647
Samsung Galaxy S23 128GB S911U Unlocked - Excellent,$237.99,https://www.ebay.com/p/2330090727?iid=256372271129&var=556475164463
Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Good,$381.99,https://www.ebay.com/p/23059054247?iid=256460585805&var=556609999488
Apple iPhone 13 128GB Unlocked - Excellent,$256.99,https://www.ebay.com/p/22049282568?iid=256350256024&var=556413185165
Apple iPhone 14 128GB Unlocked - Very Good,$266.99,https://www.ebay.com/p/20056257992?iid=256473384992&var=556636928417
Apple iPhone 14 128GB Unlocked - Excellent,$290.95,https://www.ebay.com/p/2327306558?iid=364506177072&var=634009141584
Samsung Galaxy S22 Ultra 128GB S908U Unlocked - Good,$267.99,https://www.ebay.com/p/26065011079?iid=256412927142&var=556527734246
Apple iPhone 13 128GB Unlocked - Good,$214.99,https://www.ebay.com/p/11049276145?iid=256350256078&var=556413183916
OPEN BOX Samsung Galaxy S25 128GB  256GB SM-S931U1 Mint Blue Silver Unlocked,$569.00 to $579.00,https://www.ebay.com/p/2345905739?iid=127096191977&var=428217861618
Apple iPhone 16E - 128GB - Fully Unlocked - VERY GOOD Condition,$391.99,https://www.ebay.com/p/6075293020?iid=226927446509&var=526080720102
Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Very Good,$156.99,https://www.ebay.com/itm/186372216016?hash=item2b64a654d0:g:9eoAAOSwBFJjPcD9&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LuoVtYpKw%2FDfBASmz%2B7olHXz2jESX9lcuKOHbThW8AtTnec7zJun%2Fpu2HDJab6SRs4dnP2815S49Am78MEf0sMkraX%2BPhfYJGW0sr3FfU1rZVyIxrW%2FY%2BrS%2Bc3N%2BJ0MjoT7OpveJxZPSQF%2F1hj1G0NDoyLHsrgAyMe%2F2UuAK7RG9BR5paD2uR83ILdzqJGBt%2BQcH3pbrl6IRsCZYGl8YOuRE7FIPQ60nW3gbe064tolg4w%3D%3D%7Ctkp%3ABk9SR_a00OKyZw&var=694422418593
45W PD Fast Wall Charger+Type-C Cable For Samsung Galaxy S23 S22 S21 S20 Ultra,$1.85,https://www.ebay.com/itm/134980436560?hash=item1f6d760250:g:D18AAOSwutRl9Wdx&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luq1FkTAlHeO3Kt4MYSz9ra%2B0i9hf4oQXhZtq1Pw2oERyW9RgxeE4Mi3ZY1p3I7fXVvk%2BWW7vSOj8KL3FDPWlDQ3R%2FK42s1QJzMX8H5b%2FlCAUuQ4yk1BvKeF2yMdg2eeCufd4Mgc4Df7SF4%2B%2F5z7ZI0o4%2BQuwVApXY5Dt%2BlLRYswWMr4Um6qHE3Fpzp6D9Nd%2FlW5YuKwUkk2mDngw56bRl74oPiFUswF7w%2FafvtM0vtBByVi9psmjx6A2HFASe2nl7ySDBhI73b9Anijwd0A5RF2%7Ctkp%3ABk9SR_a00OKyZw
"Apple iPhone 12 Mini, 64/128/256GB - Unlocked-  Refurbished Excellent",$189.99 to $214.99,https://www.ebay.com/itm/236252696651?epid=13041717211&hash=item3701c2104b:g:t6IAAOSwLsdkCgAA&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoUPIWpqL7186fUlDPKaZr%2BxTvWMT13diIypr56NHinKj4KyKdPuUMy5E9r3WmQh6DOS3ZgTcg1%2B0Wfy4IqivrqoCjdVMbQKnW65ewEFIlcc9er%2FODKC0Kbq4h4J8lo01L1lXasAxc9VD3xllU%2B6IzTDDdhxHggyTQBtuJHLTxhGV9BVBQild16Ex5LIszz69XNd1LgdBn%2FsqbR2%2BOFzv%2F8EtBQqJztoDmXGAkVIfHpvr7MWsD7mETP1tThceYYOyhPkwAdoEKy9QycDE%2B43dNb%7Ctkp%3ABFBM9rTQ4rJn&var=536813094600
NEW Apple iPhone SE 2022 5G 3rd Gen 100% 🔋 Battery Factory 🔓 Unlocked Warranty,$239.00 to $359.00,https://www.ebay.com/itm/255640644993?hash=item3b855ead81:g:~acAAOSwURdi2sn6&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luo3EOcXfXGuMkQBmv%2FWtRk43EQCOxZc7UQ6aO1DaA1t25sPrQnZmkcQcgZzFlPDx%2B%2FwQ6kDL9DJWQNjR8k3cP%2Fk3edxpQIb24fIqcgMSjTz3bgl2B5o9%2BomHCAz6f%2FnmGfrz7B1nyXdaBLRSFULPCXrajO7TPu%2BrZD%2BOoEuuvy4XFcWXWOn6g9iNU5TBl5Oq9zVdJbb6LpnW12jFeuYLasBh1ivFOmI8DmYqB5ig98h4JqcKitvnchyTKqA6xYHBNLmFffzUzJcTmGMwVQdnM2K%7Ctkp%3ABFBM9rTQ4rJn&var=555575432916
"Apple iPhone 13, 128/256/512GB - Unlocked - Used  Good - All colors",$234.99 to $269.99,https://www.ebay.com/itm/226415688103?epid=12052764234&hash=item34b76d39a7:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurO%2F1OG7dRLjXyfDnMnxngq1dB19PdAp2J0pMW6nq%2BbWzV6amQJCIsQtIekJlyFGLP0NxavXgDbHz07Uv21AOvd9qqgYMS4sAeXDDuwUFtw2IdAuqfP7hcU9fxYo9ejEEeTNn1y8OvzuP5ebnzmQTBDxC3IicZ7mnR0myoYwjjPGMHF9kBS0DQxCTDsQa9ZTowDqy67lWmyuSz%2FeZmIu1RfY%2BviLrMjoQF3f5udEZpNyBseQzkXTEEhLVyACtlxVYeYkou%2BovQ3OeEN7gyJKOHP%7Ctkp%3ABFBM9rTQ4rJn&var=525605127297
Apple iPhone 11 Pro Max 64/256/512GB Unlocked - Refurbished Excellent,$244.99 to $294.99,https://www.ebay.com/itm/236252720404?hash=item3701c26d14:g:ufUAAOSwff1kQwEh&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luq%2BtPEQb9OERCZRHAcn2vTKz9bPba3bp42x3B3%2FyMvIJPPsHr8UHzJ2i5QXq1sUJHuTfWQX3R3haU%2BWTAmcHyE3hHBH9m4w%2FA9Xd4QcSiZ192c7RA0Snqcd9thUjuK8aGeqEfZaP5L1FYVvuxWx%2F1slL9avuYYYGJp8uLMtV6JvaT4CzhnkKBpJ%2FQba1w6ronefDzZBlWvFdnevebcKmuYxtaSAad%2B78LIq6Riu79gKh4Yqy20%2F9np8A8geX5KI6Eth2MSAacXBOSSUOivNPYXH%7Ctkp%3ABFBM9rTQ4rJn&var=536813185538
Apple iPhone 14 128/256/512GB Unlocked Good All Colors,$273.86 to $302.25,https://www.ebay.com/p/2327306558?iid=127566082117&var=428692011150
Samsung Galaxy S23 Ultra 256GB SM-S918U1 Factory Unlocked - Excellent,$394.48 to $414.48,https://www.ebay.com/p/26059055042?iid=116285984225&var=416797874099
Apple iPhone 13 Pro 512GB - Fully Unlocked - VERY GOOD Condition,$375.99,https://www.ebay.com/p/26049291157?iid=226494095748&var=525680657476
Apple iPhone 14 Pro A2650 256GB Unlocked Very Good Condition,$414.60 to $414.62,https://www.ebay.com/p/2342638235?iid=355896536737&var=624955641491
NEW SEALED Samsung Galaxy S22 Ultra 5G S908U 128GB/256GB/512GB Factory Unlocked,$285.55 to $359.55,https://www.ebay.com/itm/389335521577?hash=item5aa6349929:g:MFIAAOSwdt5oU95v&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LupXuDeBqxyXtMyXSaHZM2u9EeY1XrhtrRpzdyz92r%2BGRf0ndzqBz9dSc4ZkoBpgMVh3%2FG8qZtJkA3ktQEikGd%2B5r0mkTLtO8FEXUNiY%2FZEjE9ICmMyR8WCP41CN0KwsICTQuFZRQTIj4BeQh5CdWBdHhq8YZZGRqOxpPfRHNXkwpsWXuaxvIl4rn5vnMLxTKwE2zcA1g9tplW9sqzE2%2B9c3eZLGfgab45Xbj0mibsF9pA%3D%3D%7Ctkp%3ABk9SR_a00OKyZw&var=656648862661
New Samsung Galaxy S23 Ultra 5G SM-S918U 256GB/ 512GB Factory Unlocked,$425.48 to $582.69,https://www.ebay.com/p/23059054247?iid=205641080772&var=506376635969
Apple iPhone SE 3rd Gen (2022) 64/128/256GB-Unlocked -Refurbished Excellent,$144.99 to $194.99,https://www.ebay.com/itm/236252802371?hash=item3701c3ad43:g:lK0AAOSwSeFkGfyu&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Lur%2BaEmb%2BbqEfpvCT0pcFZCBsYMjpuhZa9jjjK5NsCnr4dFTVYoOwehWAYJL1NLqqNrIjPfgON3ufUMf8A6YkH6NHYUvzbWQa2GRAHckERpVRLlYLRD%2Bp1N3Z5DFSngSHEsS5wUD9Be6lgLogaOGv6PRphVHJGiL0eAVaMSNFHiyOAXfM8Wt56pD%2FnDO9No6U7uxUIfmfaHfki8ybBmJoGGpj33zE2gy5%2BNbOUGFCO2A7jueY0yovDTC8IKmROlhD%2FrjUB545vBaqTXZ0UgBEXOZ%7Ctkp%3ABFBM9rTQ4rJn&var=536813118480
Apple iPhone 16 128GB Unlocked Smartphone A3081 Good Condition,$495.00,https://www.ebay.com/itm/227050861810?epid=20071682141&hash=item34dd4934f2:g:RjAAAeSwciNozaQf&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LurdKHRdAcriOhuVyP3jaSyu2wOXMgYASYmGRh1ioOTKihHX5FmzJjOXhC9XQ6LoQHQY19Qs8mD6rSWAv5c7ov9De8EfXNZXvFq0K7dDP7mJ5ai0X%2BOMoAPZwknlxnSFD1wgyLd%2FkyBxTYAvAeoyMB78x2lQ8K1ApDyDUy27lepZmPPBdWWGpK5lmtBTWeFmr1Ei%2BdC05fRvP9qO5p5a9L%2FYjIho5rIOLpRH24JXwFyrmqrYzpw2Bu5IhRaTO1%2Fd%2BHM662E8I%2FCYWiA4x7q79Q2a%7Ctkp%3ABFBM9rTQ4rJn&var=526201196476
Samsung Galaxy S21 S991U 5G SM- G991U1 - 128GB - FACTORY UNLOCKED - EXCELLENT,$139.48 to $159.48,https://www.ebay.com/p/8043691369?iid=125641047454&var=427276038397
Samsung Galaxy S22 5G SM-S901U1 128GB 256GB Unlocked Good,$142.99 to $169.95,https://www.ebay.com/p/8072305355?iid=186378192943&var=694428286611
Apple iPhone 15 Pro Max 256/512GB/1TB Unlocked Very Good All Colors,$574.86,https://www.ebay.com/p/8062766783?iid=127560658037&var=428683940225
Samsung Galaxy S22 128GB S901U Unlocked - Good,$159.99,https://www.ebay.com/p/9072235777?iid=255865325274&var=555803153092
Apple iPhone 14 Pro Max 256GB Unlocked Very Good Condition,$487.41 to $512.76,https://www.ebay.com/p/26056267417?iid=355896538160&var=624955594341
UNLOCKED Smartphone - Android,$29.99,https://www.ebay.com/itm/167822874266?hash=item271305d69a:g:b1kAAeSwIY9o2fUT&itmprp=enc%3AAQALAAAAwDKQclQvzFwZQpmMrsO4LuoQpuwTUOIXr8RGkh6MFWeKUlxU9hyU2gju%2F4qaHPRlgON0ujhLZ7uE1pKmHbe6wcmQHHsKYLZWIDQ1NwFnT%2FNBfLpsaO9u8wjqYgYv1r8nZFiUv1QEFP3A%2BgvAX1Tus0fuHltx6xOVoCkAfi4cI1wIYEHxTdNzc5W3GDq8IYlki%2BxZ%2FnIAj33bhUoY3vKjU777KSvWrhP6LEH4hCEU288552PL2EqRv02w9TFt0cyQEA%3D%3D%7Ctkp%3ABk9SR_a00OKyZw
Apple iPhone 15 Plus 128GB Unlocked Very Good Condition,$401.44,https://www.ebay.com/p/18062769490?iid=356312979103&var=625286138743
Apple iPhone 12 128GB - Fully Unlocked - VERY GOOD Condition,$223.99,https://www.ebay.com/p/24041710483?iid=225936656368&var=525028042185
Apple iPhone 12 64GB – Fully Unlocked - VERY GOOD CONDITION - Unlocked,$184.99,https://www.ebay.com/p/21075048751?iid=325852789181&var=515359783391
NEW Samsung Galaxy S22 Ultra 5G 128GB/256GB/512GB Smartphone Unlocked SM-S908U,$276.99 to $357.99,https://www.ebay.com/p/26065011079?iid=406551006887&var=676841954306
Apple iPhone 13 128GB Black A2482 (Unlocked) 90% to 99% Battery Health DF4449,$214.40,https://www.ebay.com/p/11049276145?iid=306880924854
New Samsung Galaxy S22 Ultra 5G SM-S908U 128/256/512GB Factory Unlocked ❖Sealed❖,$269.88 to $349.88,https://www.ebay.com/p/26065011079?iid=317531985362&var=616072439870
Apple iPhone 14 Plus 128GB Unlocked - Excellent,$299.95,https://www.ebay.com/p/26056267419?iid=365471995958&var=635277447732
Motorola Moto G Stylus 2025 128GB (Cricket Wireless) NEW Sealed Blue 5G,$88.99,https://www.ebay.com/p/15060829670?iid=127688391175
Apple iPhone 13 128GB (Unlocked) Bundle with MagSafe - Excellent Condition,$289.99 to $299.99,https://www.ebay.com/p/11049276145?iid=175945719377&var=475368740817
Apple iPhone 13 128/256/512GB Unlocked Good All Colors,$256.66 to $277.14,https://www.ebay.com/p/19049287637?iid=127610111041&var=428838506317
New ListingSamsung Galaxy S25 Ultra - 512 GB - Titanium Gray (Unlocked),$499.99,https://www.ebay.com/p/14074852215?iid=236755700010
Samsung Galaxy S23+ 256GB S916U Unlocked - Good,$267.99,https://www.ebay.com/p/4058722887?iid=256372558330&var=556454253822
"Apple iPhone 13 Mini, 128/256/512GB - Unlocked - Used Very Good - All colors",$224.99 to $379.99,https://www.ebay.com/itm/234988341540?epid=26049291214&hash=item36b6658924:g:qAwAAOSwhGpkCevP&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4Luo21IIJqEaNwlyKJzNK6ojIdB3v8cCfRN15wR7JXz%2BspMWRWzFOFNWgjJaaoZOmd8ilJNCDWz%2FBo7OpHJxedR6Xx5ANY%2FLuAuDVXFczDNbFy3koiVIzqvV3JELcJnsKLfxN4VFm27M33rWcfhzgcBjFMaNEwoANG%2FTGS%2BF4920tKvDYM3yw6XiGxKONiWSbmAwIBHl3%2BabKzaIugtLJPvKK2gPApAMe3GvIo3yfZ%2FbXIqCemuDDeK4CffoagfERbc9vdqb4NdePe4mBmfPN%2FfGB%7Ctkp%3ABFBM-LTQ4rJn&var=534873236356
"Apple iPhone 13, 128/256/512GB - Unlocked - Used Very Good - All colors",$254.99 to $329.99,https://www.ebay.com/itm/235791015716?epid=16074098210&hash=item36e63d5f24:g:sMQAAOSwcSFkCfCZ&itmprp=enc%3AAQALAAAA4DKQclQvzFwZQpmMrsO4LuoMdJetMZCYN5Xvqp41uaQbDmbbNwxKpzk3iHgK72dVSD244ikS4uzMR14A1EZFIXfVyaq6ByMIP2y13twkU9K8kKa3SsDROmc%2F84VcKdezkXs16NlvVCyFZUlXIYZ2WL97pz8Bt%2Fh%2FncYdI2PRYFfwOxANwViEBQc3pFGm55HztX%2BkvrCPCxhAXyHrKWTPGjZgoHiwjx1eBXJq9ZmYeHAoO50cCD8MJrwRq%2BZH9TKU9VQVk9siLB%2B8UyDhjx8r1z1v7SD%2FbUOu7s8YBjcDGDAn%7Ctkp%3ABFBM-LTQ4rJn&var=536172745222
